Term,Term Descr,Crse ID,Crse Offer Nbr,Session Code,Associated Class,Subject,Subject Descr,Catalog Nbr,Class Nbr,Class Section,Combined Section,Course Title Long,CRAS Crse Component,Section Enrl Cnt,Section Avg Wkly Mtg Hrs,Section Dist Hrs,Units Minimum,Units Maximum,DeptID (Class),Dept Descr (Class),Class Acad Group,Class Acad Group Descrshort,Class Mtg Nbr,CRAS Contact Percent,Instr Appor Dist Hrs,Instr Appor Wkly Mtg Hrs,Appor Student Credit Hours,Class Instr Appt DeptID,Appt Dept Descr,Appt Dept Grp,EG Rank IPEDS,EG Rank IPEDS Descr,Acad Rank Title Mod Descrshort,Tenure Status,Tenure Status Descr,Jobcode,Jobcode Descr
2380,Spring 2022,001363,1,1,41,CLIMATE,Climate & Meteorology,701,53540,041, ,Special Problems,IND,1,0.0,1.00,1.00,16.00,224000,Climate and Space Sciences Eng,ENG,Eng,1,100,1.00,0.0,1.00,224000,Climate and Space Sciences Eng,COLLEGE_ENGINEERING,3,Assistant Professor, ,NTK,Non Tenure On Track,202000,ASST PROFESSOR
2380,Spring 2022,001368,1,1,225,BIOMEDE,Biomedical Engineering,995,53479,225, ,Diss-Cand,IND,1,0.0,4.00,4.00,4.00,210600,Biomedical Engineering,ENG,Eng,1,100,4.00,0.0,4.00,210600,Biomedical Engineering,COLLEGE_ENGINEERING,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2380,Spring 2022,001368,1,1,237,BIOMEDE,Biomedical Engineering,995,53584,237, ,Diss-Cand,IND,1,0.0,4.00,4.00,4.00,210600,Biomedical Engineering,ENG,Eng,1,100,4.00,0.0,4.00,300600,MM Biomedical Engineering - MS,MEDICAL_SCHOOL,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2380,Spring 2022,001387,1,1,40,CEE,Civil & Environmental Engin,995,53495,040, ,Diss-Cand,IND,1,0.0,4.00,4.00,4.00,215000,Civil & Environmental Engr,ENG,Eng,1,100,4.00,0.0,4.00,215000,Civil & Environmental Engr,COLLEGE_ENGINEERING,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2380,Spring 2022,001387,1,1,65,CEE,Civil & Environmental Engin,995,53478,065, ,Diss-Cand,IND,1,0.0,4.00,4.00,4.00,215000,Civil & Environmental Engr,ENG,Eng,1,100,4.00,0.0,4.00,215000,Civil & Environmental Engr,COLLEGE_ENGINEERING,1,Professor,Clinical,NOT,Non Tenure Not On Track,201140,CLINICAL PROFESSOR
2380,Spring 2022,001387,1,1,68,CEE,Civil & Environmental Engin,995,53506,068, ,Diss-Cand,IND,1,0.0,4.00,4.00,4.00,215000,Civil & Environmental Engr,ENG,Eng,1,100,4.00,0.0,4.00,215000,Civil & Environmental Engr,COLLEGE_ENGINEERING,3,Assistant Professor, ,NTK,Non Tenure On Track,202000,ASST PROFESSOR
2380,Spring 2022,001387,1,1,69,CEE,Civil & Environmental Engin,995,53507,069, ,Diss-Cand,IND,1,0.0,4.00,4.00,4.00,215000,Civil & Environmental Engr,ENG,Eng,1,100,4.00,0.0,4.00,221000,Industrial & Operations Engin,COLLEGE_ENGINEERING,1,Professor, ,NOT,Non Tenure Not On Track,201001,Professor
2380,Spring 2022,001392,1,1,39,EECS,Elec Engin & Computer Sci,499,51368,039, ,Adv Directed Study,IND,1,0.0,3.00,1.00,4.00,216000,Electrical Engr & Computer Sci,ENG,Eng,1,100,3.00,0.0,3.00,215900,EECS - CSE Division,COLLEGE_ENGINEERING,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2380,Spring 2022,001392,1,1,44,EECS,Elec Engin & Computer Sci,499,51130,044, ,Adv Directed Study,IND,1,0.0,2.00,1.00,4.00,216000,Electrical Engr & Computer Sci,ENG,Eng,1,100,2.00,0.0,2.00,215900,EECS - CSE Division,COLLEGE_ENGINEERING,5,Lecturer, ,NOT,Non Tenure Not On Track,202880,LEO Lecturer IV
2380,Spring 2022,001418,1,1,105,MECHENG,Mechanical Engineering,995,53575,105, ,Diss-Cand,IND,1,0.0,4.00,4.00,4.00,222500,Mech Eng & Applied Mech Dept,ENG,Eng,1,100,4.00,0.0,4.00,222500,Mechanical Engineering,COLLEGE_ENGINEERING,3,Assistant Professor, ,NTK,Non Tenure On Track,202000,ASST PROFESSOR
2380,Spring 2022,001420,1,1,18,MATSCIE,Materials Science Engineering,690,53625,018, ,Research Problems,IND,1,0.0,6.00,1.00,16.00,221800,Materials Science & Engin,ENG,Eng,1,100,6.00,0.0,6.00,221800,Materials Science & Engin.,COLLEGE_ENGINEERING,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2380,Spring 2022,001459,1,1,101,SI,Information,690,51918,101, ,Intern/Field Exper,SEM,1,1.0,1.00,1.00,6.00,415000,School of Information,INF,Info,1,100,1.00,1.0,1.00,415000,School of Information,SCHOOL_INFORMATION,5,Lecturer,Adjunct,NOT,Non Tenure Not On Track,202780,LEO Adjunct Lecturer
2380,Spring 2022,001477,1,1,3,SI,Information,995,53616,003, ,Diss-Cand,IND,1,0.0,4.00,4.00,4.00,415000,School of Information,INF,Info,1,100,4.00,0.0,4.00,415000,School of Information,SCHOOL_INFORMATION,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2380,Spring 2022,001482,2,1,1,WGS,Women's and Gender Studies,240,52392,101,C,Int Womn Gndr Stdy,LEC,16,3.0,3.00,3.00,3.00,188700,Women's Studies Department,LSA,L S A,1,100,3.00,3.0,48.00,188700,LSA Women's and Gender Studies,COLLEGE_OF_LSA,2,Associate Professor, ,TEN,Tenure,201500,ASSOC PROFESSOR
2380,Spring 2022,001506,1,1,1,ANTHRCUL,"Anthropology,Cultural",101,52484,101, ,Intro to Anthro,LEC,21,4.0,4.00,4.00,4.00,172000,Anthropology Department,LSA,L S A,1,100,4.00,4.0,84.00,172000,LSA Anthropology,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202820,LEO Lecturer I
2380,Spring 2022,001534,1,1,23,ASTRO,Astronomy,399,53608,023, ,Intro-Research,IND,1,0.0,3.00,1.00,3.00,172500,Astronomy Department,LSA,L S A,1,100,3.00,0.0,3.00,172500,LSA Astronomy,COLLEGE_OF_LSA,1,Professor, ,NA,Not Applicable,201070,PROFESSOR EMERITUS/A
2380,Spring 2022,001541,1,1,1,BIOLOGY,Biology,305,50181,101, ,Genetics,LEC,41,3.0,2.67,4.00,4.00,188900,Biology Department,LSA,L S A,1,100,2.67,3.0,109.47,189000,LSA Molec./Cell./Develop. Bio,COLLEGE_OF_LSA,5,Lecturer, ,NOT,Non Tenure Not On Track,202880,LEO Lecturer IV
2380,Spring 2022,001541,1,1,1,BIOLOGY,Biology,305,50183,103, ,Genetics,DIS,20,1.5,1.33,4.00,4.00,188900,Biology Department,LSA,L S A,1,100,1.33,1.5,26.60,188900,LSA Biology - Undergraduate,COLLEGE_OF_LSA,6,Graduate Student Instructor, ,NA,Not Applicable,205000,GRAD STU INSTR
