,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Term,Term Descr,Crse ID,Crse Offer Nbr,Session Code,Associated Class,Subject,Subject Descr,Catalog Nbr,Class Nbr,Class Section,Combined Section,Course Title Long,CRAS Crse Component,Section Enrl Cnt,Section Avg Wkly Mtg Hrs,Section Dist Hrs,Units Minimum,Units Maximum,DeptID (Class),Dept Descr (Class),Class Acad Group,Class Acad Group Descrshort,Class Mtg Nbr,GEO_Instr_IDs,Class Instr Name,CRAS Contact Percent,Instr Appor Dist Hrs,Instr Appor Wkly Mtg Hrs,Appor Student Credit Hours,Class Instr Appt DeptID,Appt Dept Descr,Appt Dept Grp,EG Rank IPEDS,EG Rank IPEDS Descr,Acad Rank Title Mod Descrshort,Tenure Status,Tenure Status Descr,Jobcode,Jobcode Descr
2430,Spring 2023,001000,1,1,79,ARCH,Architecture,600,53693,079, ,Tutor Studies Arch,IND,1,0.0,1.00,1.00,3.00,372100,College of Arch & Urb Planning,AUP,Arch & UP,1,,"Wulfman,Leah",100,1.00,0.0,1.00,372100,Architecture,COLL_ARCH_URN_PLN,5,Lecturer, ,NOT,Non Tenure Not On Track,202820,LEO Lecturer I
2430,Spring 2023,001366,1,1,193,BIOMEDE,Biomedical Engineering,590,53530,193, ,Directed Research,IND,1,0.0,3.00,1.00,16.00,210600,Biomedical Engineering,ENG,Eng,1,,"Coleman,Rhima M",100,3.00,0.0,3.00,210600,Biomedical Engineering,COLLEGE_ENGINEERING,2,Associate Professor, ,TEN,Tenure,201500,ASSOC PROFESSOR
2430,Spring 2023,001387,1,1,26,CEE,Civil & Environmental Engin,995,53525,026, ,Diss-Cand,IND,1,0.0,4.00,4.00,4.00,215000,Civil & Environmental Engr,ENG,Eng,1,,"Li,Victor C",100,4.00,0.0,4.00,215000,Civil & Environmental Engr,COLLEGE_ENGINEERING,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2430,Spring 2023,001392,1,1,223,EECS,Elec Engin & Computer Sci,499,53710,223, ,Adv Directed Study,IND,1,0.0,2.00,1.00,4.00,216000,Electrical Engr & Computer Sci,ENG,Eng,1,,"Kamat,Vineet",100,2.00,0.0,2.00,215000,Civil & Environmental Engr,COLLEGE_ENGINEERING,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2430,Spring 2023,001396,1,1,2,EECS,Elec Engin & Computer Sci,995,52521,002, ,Diss-Cand,IND,2,0.0,4.00,4.00,4.00,216000,Electrical Engr & Computer Sci,ENG,Eng,1,,"Kira,Mackillo",100,4.00,0.0,8.00,216100,COE EECS - ECE Division,COLLEGE_ENGINEERING,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2430,Spring 2023,001396,1,1,33,EECS,Elec Engin & Computer Sci,995,51725,033, ,Diss-Cand,IND,2,0.0,4.00,4.00,4.00,216000,Electrical Engr & Computer Sci,ENG,Eng,1,,"Wentzloff,David",100,4.00,0.0,8.00,216100,COE EECS - ECE Division,COLLEGE_ENGINEERING,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2430,Spring 2023,001396,1,1,62,EECS,Elec Engin & Computer Sci,995,51739,062, ,Diss-Cand,IND,2,0.0,4.00,4.00,4.00,216000,Electrical Engr & Computer Sci,ENG,Eng,1,,"Lu,Wei",100,4.00,0.0,8.00,216100,COE EECS - ECE Division,COLLEGE_ENGINEERING,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2430,Spring 2023,001396,1,1,88,EECS,Elec Engin & Computer Sci,995,51757,088, ,Diss-Cand,IND,2,0.0,4.00,4.00,4.00,216000,Electrical Engr & Computer Sci,ENG,Eng,1,,"Hero III,Alfred O",100,4.00,0.0,8.00,216100,COE EECS - ECE Division,COLLEGE_ENGINEERING,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2430,Spring 2023,001396,1,1,126,EECS,Elec Engin & Computer Sci,995,52378,126, ,Diss-Cand,IND,1,0.0,4.00,4.00,4.00,216000,Electrical Engr & Computer Sci,ENG,Eng,1,,"Lee,Somin Eunice",100,4.00,0.0,4.00,211030,CoE Macromolecular Sci & Engr,COLLEGE_ENGINEERING,3,Assistant Professor, ,NOT,Non Tenure Not On Track,202001,Asst Professor
2430,Spring 2023,001396,1,1,177,EECS,Elec Engin & Computer Sci,995,51786,177, ,Diss-Cand,IND,1,0.0,4.00,4.00,4.00,216000,Electrical Engr & Computer Sci,ENG,Eng,1,,"Pradhan,S Sandeep",100,4.00,0.0,4.00,216100,COE EECS - ECE Division,COLLEGE_ENGINEERING,1,Professor, ,TEN,Tenure,201000,PROFESSOR
