Term,Term Descr,Crse ID,Crse Offer Nbr,Session Code,Associated Class,Subject,Subject Descr,Catalog Nbr,Class Nbr,Class Section,Combined Section,Course Title Long,CRAS Crse Component,Section Enrl Cnt,Section Avg Wkly Mtg Hrs,Section Dist Hrs,Units Minimum,Units Maximum,DeptID (Class),Dept Descr (Class),Class Acad Group,Class Acad Group Descrshort,Class Mtg Nbr,GEO_Instr_IDs,CRAS Contact Percent,Instr Appor Dist Hrs,Instr Appor Wkly Mtg Hrs,Appor Student Credit Hours,Class Instr Appt DeptID,Appt Dept Descr,Appt Dept Grp,EG Rank IPEDS,EG Rank IPEDS Descr,Acad Rank Title Mod Descrshort,Tenure Status,Tenure Status Descr,Jobcode,Jobcode Descr
2370,Winter 2022,001000,1,1,4,ARCH,Architecture,600,42274,004, ,Tutor Studies Arch,IND,1,0.0,3.00,1.00,3.00,372100,College of Arch & Urb Planning,AUP,Arch & UP,1,,100,3.00,0.0,3.00,372100,Architecture,COLL_ARCH_URN_PLN,2,Associate Professor, ,TEN,Tenure,201500,ASSOC PROFESSOR
2370,Winter 2022,001000,1,1,23,ARCH,Architecture,600,42255,023, ,Tutor Studies Arch,IND,1,0.0,3.00,1.00,3.00,372100,College of Arch & Urb Planning,AUP,Arch & UP,1,,100,3.00,0.0,3.00,372100,Architecture,COLL_ARCH_URN_PLN,2,Associate Professor, ,TEN,Tenure,201500,ASSOC PROFESSOR
2370,Winter 2022,001000,1,1,26,ARCH,Architecture,600,41537,026, ,Tutor Studies Arch,IND,6,0.0,3.00,1.00,3.00,372100,College of Arch & Urb Planning,AUP,Arch & UP,1,,100,3.00,0.0,18.00,372100,Architecture,COLL_ARCH_URN_PLN,3,Assistant Professor, ,NTK,Non Tenure On Track,202000,ASST PROFESSOR
2370,Winter 2022,001000,1,1,35,ARCH,Architecture,600,42687,035, ,Tutor Studies Arch,IND,1,0.0,1.00,1.00,3.00,372100,College of Arch & Urb Planning,AUP,Arch & UP,1,,100,1.00,0.0,1.00,372100,Architecture,COLL_ARCH_URN_PLN,5,Lecturer, ,NOT,Non Tenure Not On Track,202820,LEO Lecturer I
2370,Winter 2022,001000,1,1,45,ARCH,Architecture,600,42623,045, ,Tutor Studies Arch,IND,1,0.0,3.00,1.00,3.00,372100,College of Arch & Urb Planning,AUP,Arch & UP,1,,100,3.00,0.0,3.00,372100,Architecture,COLL_ARCH_URN_PLN,2,Associate Professor, ,TEN,Tenure,201500,ASSOC PROFESSOR
2370,Winter 2022,001000,1,1,53,ARCH,Architecture,600,42604,053, ,Tutor Studies Arch,IND,1,0.0,3.00,1.00,3.00,372100,College of Arch & Urb Planning,AUP,Arch & UP,1,,100,3.00,0.0,3.00,372100,Architecture,COLL_ARCH_URN_PLN,5,Lecturer, ,NOT,Non Tenure Not On Track,202820,LEO Lecturer I
2370,Winter 2022,001000,1,1,75,ARCH,Architecture,600,42462,075, ,Tutor Studies Arch,IND,1,0.0,3.00,1.00,3.00,372100,College of Arch & Urb Planning,AUP,Arch & UP,1,,100,3.00,0.0,3.00,372100,Architecture,COLL_ARCH_URN_PLN,5,Lecturer, ,NOT,Non Tenure Not On Track,202880,LEO Lecturer IV
2370,Winter 2022,001000,1,1,93,ARCH,Architecture,600,42275,093, ,Tutor Studies Arch,IND,2,0.0,3.00,1.00,3.00,372100,College of Arch & Urb Planning,AUP,Arch & UP,1,,100,3.00,0.0,6.00,372100,Architecture,COLL_ARCH_URN_PLN,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2370,Winter 2022,001000,1,1,113,ARCH,Architecture,600,42553,113, ,Tutor Studies Arch,IND,1,0.0,1.00,1.00,3.00,372100,College of Arch & Urb Planning,AUP,Arch & UP,1,,100,1.00,0.0,1.00,372100,Architecture,COLL_ARCH_URN_PLN,3,Assistant Professor, ,NTK,Non Tenure On Track,202000,ASST PROFESSOR
2370,Winter 2022,001000,1,1,118,ARCH,Architecture,600,42660,118, ,Tutor Studies Arch,IND,1,0.0,3.00,1.00,3.00,372100,College of Arch & Urb Planning,AUP,Arch & UP,1,,100,3.00,0.0,3.00,372100,Architecture,COLL_ARCH_URN_PLN,5,Lecturer, ,NOT,Non Tenure Not On Track,202860,LEO Lecturer III
2370,Winter 2022,001002,1,1,44,ARCH,Architecture,990,42259,044, ,Diss-Precand,IND,1,0.0,8.00,1.00,8.00,372100,College of Arch & Urb Planning,AUP,Arch & UP,1,,100,8.00,0.0,8.00,372100,Architecture,COLL_ARCH_URN_PLN,2,Associate Professor, ,TEN,Tenure,201500,ASSOC PROFESSOR
2370,Winter 2022,001002,1,1,63,ARCH,Architecture,990,41959,063, ,Diss-Precand,IND,1,0.0,8.00,1.00,8.00,372100,College of Arch & Urb Planning,AUP,Arch & UP,1,,100,8.00,0.0,8.00,372100,Architecture,COLL_ARCH_URN_PLN,2,Associate Professor, ,TEN,Tenure,201500,ASSOC PROFESSOR
2370,Winter 2022,001003,1,1,7,ARCH,Architecture,995,39201,007, ,Diss-Cand,IND,2,0.0,8.00,8.00,8.00,372100,College of Arch & Urb Planning,AUP,Arch & UP,1,,100,8.00,0.0,16.00,372100,Architecture,COLL_ARCH_URN_PLN,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2370,Winter 2022,001003,1,1,11,ARCH,Architecture,995,39200,011, ,Diss-Cand,IND,1,0.0,8.00,8.00,8.00,372100,College of Arch & Urb Planning,AUP,Arch & UP,1,,100,8.00,0.0,8.00,372100,Architecture,COLL_ARCH_URN_PLN,2,Associate Professor, ,TEN,Tenure,201500,ASSOC PROFESSOR
2370,Winter 2022,001003,1,1,24,ARCH,Architecture,995,39205,024, ,Diss-Cand,IND,4,0.0,8.00,8.00,8.00,372100,College of Arch & Urb Planning,AUP,Arch & UP,1,,100,8.00,0.0,32.00,372100,Architecture,COLL_ARCH_URN_PLN,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2370,Winter 2022,001003,1,1,33,ARCH,Architecture,995,39207,033, ,Diss-Cand,IND,1,0.0,8.00,8.00,8.00,372100,College of Arch & Urb Planning,AUP,Arch & UP,1,,100,8.00,0.0,8.00,372100,Architecture,COLL_ARCH_URN_PLN,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2370,Winter 2022,001003,1,1,37,ARCH,Architecture,995,39208,037, ,Diss-Cand,IND,2,0.0,8.00,8.00,8.00,372100,College of Arch & Urb Planning,AUP,Arch & UP,1,,100,8.00,0.0,16.00,372100,Architecture,COLL_ARCH_URN_PLN,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2370,Winter 2022,001003,1,1,44,ARCH,Architecture,995,39209,044, ,Diss-Cand,IND,2,0.0,8.00,8.00,8.00,372100,College of Arch & Urb Planning,AUP,Arch & UP,1,,100,8.00,0.0,16.00,372100,Architecture,COLL_ARCH_URN_PLN,2,Associate Professor, ,TEN,Tenure,201500,ASSOC PROFESSOR
2370,Winter 2022,001003,1,1,51,ARCH,Architecture,995,39202,051, ,Diss-Cand,IND,1,0.0,8.00,8.00,8.00,372100,College of Arch & Urb Planning,AUP,Arch & UP,1,,100,8.00,0.0,8.00,372100,Architecture,COLL_ARCH_URN_PLN,2,Associate Professor, ,TEN,Tenure,201500,ASSOC PROFESSOR
2370,Winter 2022,001005,1,1,1,URP,Urban and Regional Planning,610,21680,001, ,URP Grad Exper Cse,SEM,17,3.0,3.00,3.00,3.00,372100,College of Arch & Urb Planning,AUP,Arch & UP,1,,100,3.00,3.0,51.00,372200,Urban Planning,COLL_ARCH_URN_PLN,3,Assistant Professor,Visiting,NOT,Non Tenure Not On Track,201600,VISITING CLIN ASST PROF
2370,Winter 2022,001035,1,1,1,ARTDES,Art and Design,202,35634,001, ,Intro to Ceramics,LAB,16,4.5,3.00,3.00,3.00,373000,School Of Art And Design,ART,Art&Des,1,,100,3.00,4.5,48.00,373000,Stamps School of Art & Design,SCHOOL_ART_DESIGN,5,Lecturer, ,NOT,Non Tenure Not On Track,202840,LEO Lecturer II
2370,Winter 2022,001121,1,1,1,ACC,Accounting,301,10305,002, ,Managerial Acctg,REC,80,3.0,3.00,3.00,3.00,380000,School of Business Admin,BA,Ross Sch,1,,100,3.00,3.0,240.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,5,Lecturer, ,NOT,Non Tenure Not On Track,202840,LEO Lecturer II
2370,Winter 2022,001121,1,1,1,ACC,Accounting,301,10306,001, ,Managerial Acctg,REC,73,3.0,3.00,3.00,3.00,380000,School of Business Admin,BA,Ross Sch,1,,100,3.00,3.0,219.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,5,Lecturer, ,NOT,Non Tenure Not On Track,202840,LEO Lecturer II
2370,Winter 2022,001121,1,1,1,ACC,Accounting,301,10307,003, ,Managerial Acctg,REC,75,3.0,3.00,3.00,3.00,380000,School of Business Admin,BA,Ross Sch,1,,100,3.00,3.0,225.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,3,Assistant Professor,Clinical,NOT,Non Tenure Not On Track,202140,CLINICAL ASST PROF
2370,Winter 2022,001121,1,1,1,ACC,Accounting,301,10308,004, ,Managerial Acctg,REC,87,3.0,3.00,3.00,3.00,380000,School of Business Admin,BA,Ross Sch,1,,100,3.00,3.0,261.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,5,Lecturer, ,NOT,Non Tenure Not On Track,202840,LEO Lecturer II
2370,Winter 2022,001121,1,1,1,ACC,Accounting,301,10309,005, ,Managerial Acctg,REC,79,3.0,3.00,3.00,3.00,380000,School of Business Admin,BA,Ross Sch,1,,100,3.00,3.0,237.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,5,Lecturer, ,NOT,Non Tenure Not On Track,202840,LEO Lecturer II
2370,Winter 2022,001121,1,1,1,ACC,Accounting,301,10310,006, ,Managerial Acctg,REC,71,3.0,3.00,3.00,3.00,380000,School of Business Admin,BA,Ross Sch,1,,100,3.00,3.0,213.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,5,Lecturer, ,NOT,Non Tenure Not On Track,202840,LEO Lecturer II
2370,Winter 2022,001121,1,1,1,ACC,Accounting,301,23345,007, ,Managerial Acctg,REC,78,3.0,3.00,3.00,3.00,380000,School of Business Admin,BA,Ross Sch,1,,100,3.00,3.0,234.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,3,Assistant Professor,Clinical,NOT,Non Tenure Not On Track,202140,CLINICAL ASST PROF
2370,Winter 2022,001121,1,1,1,ACC,Accounting,301,24206,008, ,Managerial Acctg,REC,82,3.0,3.00,3.00,3.00,380000,School of Business Admin,BA,Ross Sch,1,,100,3.00,3.0,246.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,5,Lecturer, ,NOT,Non Tenure Not On Track,202840,LEO Lecturer II
2370,Winter 2022,001122,1,1,19,ACC,Accounting,750,42662,019, ,Indep Study Project,IND,1,0.0,2.00,1.00,3.00,380000,School of Business Admin,BA,Ross Sch,1,,100,2.00,0.0,2.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,3,Assistant Professor, ,NTK,Non Tenure On Track,202000,ASST PROFESSOR
2370,Winter 2022,001124,1,1,36,ACC,Accounting,990,41414,036, ,Diss-Precand,IND,1,0.0,8.00,1.00,8.00,380000,School of Business Admin,BA,Ross Sch,1,,100,8.00,0.0,8.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2370,Winter 2022,001125,1,1,36,ACC,Accounting,995,41380,036, ,Diss-Cand,IND,2,0.0,8.00,8.00,8.00,380000,School of Business Admin,BA,Ross Sch,1,,100,8.00,0.0,16.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2370,Winter 2022,001130,1,1,5,BE,Business Econ & Public Policy,995,41381,005, ,Diss-Cand,IND,2,0.0,8.00,8.00,8.00,380000,School of Business Admin,BA,Ross Sch,1,,100,8.00,0.0,16.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2370,Winter 2022,001130,1,1,7,BE,Business Econ & Public Policy,995,41382,007, ,Diss-Cand,IND,2,0.0,8.00,8.00,8.00,380000,School of Business Admin,BA,Ross Sch,1,,100,8.00,0.0,16.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2370,Winter 2022,001130,1,1,17,BE,Business Econ & Public Policy,995,41383,017, ,Diss-Cand,IND,1,0.0,8.00,8.00,8.00,380000,School of Business Admin,BA,Ross Sch,1,,100,8.00,0.0,8.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2370,Winter 2022,001130,1,1,41,BE,Business Econ & Public Policy,995,41384,041, ,Diss-Cand,IND,2,0.0,8.00,8.00,8.00,380000,School of Business Admin,BA,Ross Sch,1,,100,8.00,0.0,16.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,3,Assistant Professor, ,NTK,Non Tenure On Track,202000,ASST PROFESSOR
2370,Winter 2022,001130,1,1,42,BE,Business Econ & Public Policy,995,41385,042, ,Diss-Cand,IND,1,0.0,8.00,8.00,8.00,380000,School of Business Admin,BA,Ross Sch,1,,100,8.00,0.0,8.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,3,Assistant Professor, ,NTK,Non Tenure On Track,202000,ASST PROFESSOR
2370,Winter 2022,001135,1,1,20,FIN,Finance,995,41386,020, ,Diss-Cand,IND,1,0.0,8.00,8.00,8.00,380000,School of Business Admin,BA,Ross Sch,1,,100,8.00,0.0,8.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,3,Assistant Professor, ,NTK,Non Tenure On Track,202000,ASST PROFESSOR
2370,Winter 2022,001135,1,1,38,FIN,Finance,995,41387,038, ,Diss-Cand,IND,6,0.0,8.00,8.00,8.00,380000,School of Business Admin,BA,Ross Sch,1,,100,8.00,0.0,48.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2370,Winter 2022,001135,1,1,39,FIN,Finance,995,41388,039, ,Diss-Cand,IND,3,0.0,8.00,8.00,8.00,380000,School of Business Admin,BA,Ross Sch,1,,100,8.00,0.0,24.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2370,Winter 2022,001135,1,1,50,FIN,Finance,995,41389,050, ,Diss-Cand,IND,1,0.0,8.00,8.00,8.00,380000,School of Business Admin,BA,Ross Sch,1,,100,8.00,0.0,8.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2370,Winter 2022,001135,1,1,57,FIN,Finance,995,41008,057, ,Diss-Cand,IND,1,0.0,8.00,8.00,8.00,380000,School of Business Admin,BA,Ross Sch,1,,100,8.00,0.0,8.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,2,Associate Professor, ,TEN,Tenure,201500,ASSOC PROFESSOR
2370,Winter 2022,001146,1,1,1,MKT,Marketing,750,10341,001, ,Indep Study Project,IND,1,0.0,2.00,1.00,3.00,380000,School of Business Admin,BA,Ross Sch,1,,100,2.00,0.0,2.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,7,Other CRAS Instructional, ,NA,Not Applicable, , 
2370,Winter 2022,001149,1,1,15,MKT,Marketing,995,41396,015, ,Diss-Cand,IND,2,0.0,8.00,8.00,8.00,380000,School of Business Admin,BA,Ross Sch,1,,100,8.00,0.0,16.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2370,Winter 2022,001149,1,1,18,MKT,Marketing,995,41397,018, ,Diss-Cand,IND,1,0.0,8.00,8.00,8.00,380000,School of Business Admin,BA,Ross Sch,1,,100,8.00,0.0,8.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2370,Winter 2022,001149,1,1,27,MKT,Marketing,995,41398,027, ,Diss-Cand,IND,1,0.0,8.00,8.00,8.00,380000,School of Business Admin,BA,Ross Sch,1,,100,8.00,0.0,8.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,2,Associate Professor, ,TEN,Tenure,201500,ASSOC PROFESSOR
2370,Winter 2022,001149,1,1,34,MKT,Marketing,995,41399,034, ,Diss-Cand,IND,3,0.0,8.00,8.00,8.00,380000,School of Business Admin,BA,Ross Sch,1,,100,8.00,0.0,24.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2370,Winter 2022,001149,1,1,38,MKT,Marketing,995,41400,038, ,Diss-Cand,IND,1,0.0,8.00,8.00,8.00,380000,School of Business Admin,BA,Ross Sch,1,,100,8.00,0.0,8.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2370,Winter 2022,001153,1,1,19,MO,Management & Organizations,995,41391,019, ,Diss-Cand,IND,1,0.0,8.00,8.00,8.00,380000,School of Business Admin,BA,Ross Sch,1,,100,8.00,0.0,8.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2370,Winter 2022,001153,1,1,22,MO,Management & Organizations,995,41392,022, ,Diss-Cand,IND,1,0.0,8.00,8.00,8.00,380000,School of Business Admin,BA,Ross Sch,1,,100,8.00,0.0,8.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2370,Winter 2022,001153,1,1,24,MO,Management & Organizations,995,41393,024, ,Diss-Cand,IND,2,0.0,8.00,8.00,8.00,380000,School of Business Admin,BA,Ross Sch,1,,100,8.00,0.0,16.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2370,Winter 2022,001153,1,1,27,MO,Management & Organizations,995,41394,027, ,Diss-Cand,IND,1,0.0,8.00,8.00,8.00,380000,School of Business Admin,BA,Ross Sch,1,,100,8.00,0.0,8.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2370,Winter 2022,001153,1,1,51,MO,Management & Organizations,995,41395,051, ,Diss-Cand,IND,1,0.0,8.00,8.00,8.00,380000,School of Business Admin,BA,Ross Sch,1,,100,8.00,0.0,8.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,2,Associate Professor, ,TEN,Tenure,201500,ASSOC PROFESSOR
2370,Winter 2022,001153,1,1,52,MO,Management & Organizations,995,41401,052, ,Diss-Cand,IND,1,0.0,8.00,8.00,8.00,380000,School of Business Admin,BA,Ross Sch,1,,100,8.00,0.0,8.00,380000,Ross School of Business,SCHOOL_BUS_ADMIN,2,Associate Professor, ,TEN,Tenure,201500,ASSOC PROFESSOR
2370,Winter 2022,001346,1,1,2,AEROSP,Aerospace Engineering,390,15997,002, ,Directed Study,IND,1,0.0,3.00,1.00,3.00,212000,Aerospace Engineering,ENG,Eng,1,,100,3.00,0.0,3.00,212000,Aerospace Engineering,COLLEGE_ENGINEERING,1,Professor, ,TEN,Tenure,201000,PROFESSOR
2370,Winter 2022,001346,1,1,66,AEROSP,Aerospace Engineering,390,19385,066, ,Directed Study,IND,2,0.0,3.00,1.00,3.00,212000,Aerospace Engineering,ENG,Eng,1,,100,3.00,0.0,6.00,212000,Aerospace Engineering,COLLEGE_ENGINEERING,2,Associate Professor, ,TEN,Tenure,201500,ASSOC PROFESSOR
2370,Winter 2022,001347,1,1,10,AEROSP,Aerospace Engineering,490,22771,010, ,Directed Study,IND,1,0.0,3.00,1.00,3.00,212000,Aerospace Engineering,ENG,Eng,1,,100,3.00,0.0,3.00,212000,Aerospace Engineering,COLLEGE_ENGINEERING,1,Professor, ,TEN,Tenure,201000,PROFESSOR
