TERM,TERM_DESCRSHORT,CRN,SUBJECT,COURSE_NUMBR,SECTION_NUMBER,CRSE_DESCR,UM_MODALITY,SCHD_DESC,SECTION_ENROLLMENT,SECTION_CAP,SECTION_CREDITS,CREDITS_HIGH,CREDITS_LOW,CLASS_INST_ID,CLASS_INSTR_NAME,APPT_DEPT_DESCRIPTION,COLLEGE_SCHOOL,JOBCODE,JOBCODE_DESCRIPTION
202420,Winter 2024,24650,EGR,355,01,Thermal Systems Laboratory,In Person,Laboratory,10,20,10,1,1,69306138,"AbdulNour, Bashar",Flint Engineering,Flint College of Innov. & Tech,202840,LEO Lecturer II
202420,Winter 2024,24729,EGR,451,01,Computational Fluid Dynamics,In Person,Lecture/Lab,12,30,36,3,3,69306138,"AbdulNour, Bashar",Flint Engineering,Flint College of Innov. & Tech,202840,LEO Lecturer II
202420,Winter 2024,22435,EGR,465,01,Engineering Design I,In Person,Lecture/Lab,13,20,52,4,4,69306138,"AbdulNour, Bashar",Flint Engineering,Flint College of Innov. & Tech,202840,LEO Lecturer II
202420,Winter 2024,24730,EGR,551,01,Computational Fluid Dynamics,In Person,Lecture/Lab,5,30,15,3,3,69306138,"AbdulNour, Bashar",Flint Engineering,Flint College of Innov. & Tech,202840,LEO Lecturer II
202420,Winter 2024,24627,DMT,260,01,Electronic Systems,In Person,Lecture/Lab,11,35,44,4,4,90118142,"Aboelkassem, Yasser",Flint Engineering,Flint College of Innov. & Tech,202000,ASST PROFESSOR
202420,Winter 2024,24630,ITI,150,01,Internet of Things,In Person,Lecture/Lab,23,35,92,4,4,90118142,"Aboelkassem, Yasser",Flint Engineering,Flint College of Innov. & Tech,202000,ASST PROFESSOR
202420,Winter 2024,24737,ADM,506,W1,Arts Grant Writing,Fully Online,Online/Web Based,12,24,36,3,3,71418954,"Adkins, Dean",Flint MA-Art Administration,Flint CASE,202840,LEO Lecturer II
202420,Winter 2024,23487,EGR,102,W1,Introduction to Engineering,Fully Online,Online/Web Based,30,30,120,4,4,20046516,"Afshar, Shima",Flint Engineering,Flint College of Innov. & Tech,202820,LEO Lecturer I
202420,Winter 2024,22440,EGR,356,01,Heat Transfer,In Person,Lecture/Lab,24,30,96,4,4,20046516,"Afshar, Shima",Flint Engineering,Flint College of Innov. & Tech,202820,LEO Lecturer I
202420,Winter 2024,24651,EGR,390,W1,Life Cycle Assessment,Fully Online,Online/Web Based,17,30,51,3,3,20046516,"Afshar, Shima",Flint Engineering,Flint College of Innov. & Tech,202820,LEO Lecturer I
